Entity,Code,Day,new_vaccinations_smoothed_per_million
Nigeria,NGA,2021/8/12,0.0026
Nigeria,NGA,2021/8/13,0.0033
Nigeria,NGA,2021/8/14,0.004
Nigeria,NGA,2021/8/15,0.0047
Nigeria,NGA,2021/8/16,0.0054
Nigeria,NGA,2021/8/17,0.0054
Nigeria,NGA,2021/8/18,0.0054
Nigeria,NGA,2021/8/19,0.0054
Nigeria,NGA,2021/8/20,0.0054
Nigeria,NGA,2021/8/21,0.0054
Nigeria,NGA,2021/8/22,0.0054
Nigeria,NGA,2021/8/23,0.0054
Nigeria,NGA,2021/8/24,0.0054
Nigeria,NGA,2021/8/25,0.0054
Nigeria,NGA,2021/8/26,0.0054
Nigeria,NGA,2021/8/27,0.0054
Nigeria,NGA,2021/8/28,0.0054
